Date;ENGI FP Equity;CS FP Equity;RTY Index;SPX Index;SX5E Index;SXXP Index
21/02/2024;14.53;31.175;1994.743;4981.8;4775.31;491.05
20/02/2024;14.446;31.165;2004.143;4975.51;4760.28;491.9
19/02/2024;14.32;31.01;#N/A;#N/A;4763.07;492.39
16/02/2024;14.322;30.98;2032.744;5005.57;4765.65;491.59
15/02/2024;14.472;30.78;2061.478;5029.73;4743.17;488.54
14/02/2024;14.376;30.635;2012.102;5000.62;4709.22;485.24
13/02/2024;14.318;30.635;1964.174;4953.17;4689.28;482.83
12/02/2024;14.282;30.63;2045.257;5021.84;4746.35;487.46
09/02/2024;14.10;29.99;2009.992;5026.61;4715.87;484.83
08/02/2024;14.388;30.075;1979.699;4997.91;4710.78;485.27
